2023年4月
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2023-04-22 23:30:51,121.754,24.3822,3,6.4,宜蘭縣政府南方  38.6  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023-04-22 22:10:04,121.792,24.3352,3,7.4,宜蘭縣政府南方  43.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023-04-22 16:03:47,121.747,24.3817,3.9,6.8,宜蘭縣政府南方  38.7  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023-04-22 08:20:46,120.974,23.2627,3.6,5,臺東縣政府北北西方  59.1  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023-04-21 19:44:44,121.509,23.5075,4.5,17,花蓮縣政府南南西方  54.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-04-20 05:41:31,121.475,23.7452,3.6,7.3,花蓮縣政府南南西方  31.0  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2023-04-19 15:49:08,121.303,23.4065,3.8,10.8,花蓮縣政府南南西方  72.3  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023-04-19 14:11:17,121.131,23.0562,3.1,6.2,臺東縣政府北方  33.4  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023-04-19 02:53:59,121.309,24.1672,3.6,7,花蓮縣政府西北西方  37.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-04-18 03:33:52,121.941,24.3462,4.5,41.3,宜蘭縣政府南南東方  46.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-04-18 02:21:33,120.924,24.0723,3.4,24,南投縣政府東北方  30.3  公里 (位於南投縣國姓鄉)(南投縣國姓鄉)
033   ,2023-04-17 16:49:05,121.668,24.3723,4.5,17.1,宜蘭縣政府南南西方  40.9  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
